date,part,action,code,shares,price,amount,note
2026-08-17,1,buy,sh513050,134700,1.1120,149786.40,第一份底仓一次性买入
2026-08-17,2,buy,sh512890,670400,1.1560,774982.40,第二份一次性买入（模拟盘，按08-17收盘价）
